code_9d,code_6d,system,subcode,description,source_file
,028-048,028,048,Sight Glass - Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-049,028,049,Wiring Harness - Bus Body A/C Evaporator,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-050,028,050,Cap - Bus Body A/C Duct,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-051,028,051,Channel - A/C Hose,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-052,028,052,"Valve - Condensate, A/C Drain Hose",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-053,028,053,Hose Refrigerant - Bus Body A/C Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,020-053,020,053,Fitting Due Body A/C Assembly Defrigerent,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,026-054,026,054,Filling - bus body A/C Assembly Reingerant,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,000-055,000,055,Hose,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-055,028,055,"valve Core - High Side, Bus Body A/C System",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-056,028,056,"Valve Core - Low Side, Bus Body A/C System",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-057,028,057,"Sensor - Refrigerant Pressure, Bus Body A/C",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-058,028,058,Accumulator - Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
