PART,MANUFACTURER,DESCRIPTION,SYSTEM,COMPONENT,ASSEMBLY,constructed_code
8CL001,DINEX,"SENSOR, NOX  INLET",43,7,218,043-007-218
8CL002,VOLVO,NOX SENSOR,43,7,,043-007-000
8F9Z-9F472-B,FORD MOTOR CO,SENSOR OXYGEN,33,2,25,033-002-025
8F9Z-9F472-H,FORD MOTOR CO,SENSOR-OXYGEN,43,6,5,043-006-005
8F9Z-9F472-J,FORD MOTOR CO,"SENSOR, HEGO",40,0,0,040-000-000
8F9Z-9FA72-B,FORD MOTOR CO,"SENSOR, ENGINE, HEGO",43,1,165,043-001-165
8L1Z-2V001-A,FORD MOTOR CO,"PADS, BRAKE, FRONT",13,1,139,013-001-139
8L3Z-6G004-A,FORD MOTOR CO,"HEAD, TEMPERATURE, SENSOR",45,7,0,045-007-000
8L5Z-5484-A,FORD MOTOR CO,"BUSHING, STABLIZER",16,4,2,016-004-002
8S4Z-6G004-A,FORD MOTOR CO,"SENSOR, TEMP, CYLINDER HEAD",45,21,79,045-021-079
8T5812,"DAYTON PARTS, INC.","THREADED,ROD,5/8X12",16,5,28,016-005-028
8U9Z-2001-C,FORD MOTOR CO,"PADS, BRAKE, FRONT",13,1,139,013-001-139
8U9Z-2B120-AA,FORD MOTOR CO,"BRAKE CALIPER, ASSEMBLY LH",13,2,122,013-002-122
90000,FREIGHTLINER,"KIT, AIR BLOW GUN",13,0,0,013-000-000
90-0012,PETERBILT MOTORS CO,"CLAMP, EXHAUST - V",43,3,0,043-003-000
90001264,OTTAWA TRUCKS NA,"VALVE, BRAKE",13,10,51,013-010-051
90-0013,"PACCAR, INC.","CLAMP, EXHAUST - 5""",43,6,0,043-006-000
9000145,TENNANT,SQUEEGEE ASSEMBLY,161,2,0,161-002-000
900021498,OTTAWA TRUCKS NA,"LOWER , RADIATOR,HOSE",42,2,0,042-002-000
90002479,OTTAWA TRUCKS NA,WHEEL SEAL,18,2,11,018-002-011
900037-11,MAXON,"SCREW, CAP SOCKET HEAD - 1/2""-",55,1,0,055-001-000
90003919,KALMAR LMV,"ASSY, RIGHT TIE ROD END",15,4,45,015-004-045
90003920,KALMAR LMV,"ASSY, LEFT TIE ROD END",15,4,45,015-004-045
90005161,OTTAWA TRUCKS NA,WASHER,53,7,8,053-007-008
90007281,OTTAWA TRUCKS NA,"VALVE, PARKING BRAKE, YELLOW",13,4,0,013-004-000
90007937,OTTAWA TRUCKS NA,"CAPSCREW, 1-8 X 10, GRADE 8",53,7,89,053-007-089
90008651,OTTAWA TRUCKS NA,LOCK NUT,68,2,0,068-002-000
90011592,OTTAWA TRUCKS NA,"ROLL,PIN,CONTROL,HANDLE",3,0,0,003-000-000
90014218,OTTAWA TRUCKS NA,NUT,53,7,4,053-007-004
90017800,OTTAWA TRUCKS NA,RELAY,37,1,3,037-001-003
90-01798,STEMCO MFG CO.,GASKET,18,0,0,018-000-000
90019272,OTTAWA TRUCKS NA,"CAP, TANK, FUEL",44,1,,044-001-000
9001A-31003,TOYOTA,"TYPE,T,OIL,SEAL",266,0,0,266-000-000
9001A-31004,TOYOTA,"OIL,SEAL",266,0,0,266-000-000
9001A-96003,TOYOTA,"V-RIBBED, FAN BELT",42,3,0,042-003-000
9001A-98004,TOYOTA,"SPARK,PLUG",266,0,0,266-000-000
9001A-9E003,TOYOTA,CORD SET,266,1,0,266-001-000
90024263,"CAPACITY, INC.","CABLE, 5TH WHEEL",59,0,0,059-000-000
9002436,TENNANT,"PANEL KIT, INSTMT, REPLMT",0,0,0,000-000-000
90026288,OTTAWA TRUCKS NA,DASH VALVE,13,3,60,013-003-060
9002679,TENNANT,"SQUEEGEE KIT, 600MM CI [T5]",61,11,1,061-011-001
90027162,OTTAWA TRUCKS NA,"FAN, ENGINE",42,3,1,042-003-001
90027448,KALMAR LMV,SPRING COMPRESSION,45,8,37,045-008-037
90027706OOT,OTTAWA TRUCKS NA,BRAKE PRESSURE SWITCH,13,15,1,013-015-001
90027760,OTTAWA TRUCKS NA,FIFTH WHEEL REPAIR KIT,59,1,,059-001-000
90027989,OTTAWA TRUCKS NA,"SHOE, BRAKE, 16.50""X7.00""",13,2,120,013-002-120
90029255,KALMAR LMV,"SWITCH, STOP LIGHT",34,2,8,034-002-008
90-02935,FREIGHTLINER,GASKET,44,1,3,044-001-003
90029654,UTILITY,HYDRAULICS,65,0,0,065-000-000
90029818,OTTAWA TRUCKS NA,"MOUNT, ENGINE",14,3,55,014-003-055
90030934,OTTAWA TRUCKS NA,"GEAR BOX, STEERING",27,0,0,027-000-000
90031065,OTTAWA TRUCKS NA,"DRUM, BRAKE, 16.50"" X 7.00""",13,2,23,013-002-023
90031080,OTTAWA TRUCKS NA,"SEAL KIT, STEERING GEAR",15,3,,015-003-000
900320,THERMO KING,EVAP GUARD S-3,82,1,11,082-001-011
90032535,OTTAWA TRUCKS NA,"CLAMP, EXHAUST",43,3,13,043-003-013
90032982,OTTAWA TRUCKS NA,"PINTLE,HOOK",59,2,1,059-002-001
90033322,OTTAWA TRUCKS NA,EXHAUST PIPE,43,3,18,043-003-018
90033647,OTTAWA TRUCKS NA,"FILTER, AIR, CABIN",1,1,219,001-001-219
90035364,OTTAWA TRUCKS NA,"FILTER, AIR, ENGINE, SECONDARY",41,1,89,041-001-089
90035365,OTTAWA TRUCKS NA,"FILTER, AIR, ENGINE",41,1,5,041-001-005
90035836,OTTAWA TRUCKS NA,"JAW, RELEASE, REPAIR, KIT",59,1,32,059-001-032
90035930,OTTAWA TRUCKS NA,DEF LEVEL SENSOR,43,6,17,043-006-017
90036407,KALMAR LMV,"BLEND,DOOR,ACTUATOR",1,2,64,001-002-064
90036413,KALMAR LMV,HVAC RECIRC DOOR,1,0,0,001-000-000
90036420,KALMAR LMV,BLOWER ASSEMBLY,1,0,0,001-000-000
90036438,OTTAWA TRUCKS NA,"FILTER, AIR, CABIN",1,1,219,001-001-219
90036439,OTTAWA TRUCKS NA,"FILTER, AIR, RECIRCULATION",1,1,219,001-001-219
90036450,OTTAWA TRUCKS NA,AIR VALVE,1,0,0,001-000-000
90036514,OTTAWA TRUCKS NA,BLOWER/TEMP/POS SWITCH KNOB,1,0,0,001-000-000
90036524,OTTAWA TRUCKS NA,BLOWER SWITCH,30,0,0,030-000-000
90037519,OTTAWA TRUCKS NA,"FILTER, OIL, HYDRAULIC",59,36,14,059-036-014
900-38,PURKEY'S FLEET ELEC,"CONVERTER, DC",46,0,0,046-000-000
900398,THERMO KING,KIT TANK FUEL 30/50 GAL,82,0,0,082-000-000
9004,ONSPOT,"12V, DASH , SWITCH",0,0,0,000-000-000
9004054,TENNANT,VACUUM MOTOR,52,0,0,052-000-000
900422,THERMO KING,KIT EVAP GUARD MTG BRKT,82,1,91,082-001-091
9004493,TENNANT,SQUEEGEE ASSEMBLY,266,0,0,266-000-000
9004496,TENNANT,"KIT, REAR SQUEEGE",66,1,0,066-001-000
9004538,TENNANT,"CONTACTOR, KIT",61,0,0,061-000-000
90054007,HALDEX,"VALVE, HIEGHT CONTROL",16,0,0,016-000-000
9005XSBP,"SYLVANIA DIV, GTE",LIGHT BULB,34,0,0,034-000-000
9005XSLL,GENERAL ELECTRIC CO.,"HEADLIGHT, HIGH BEAM",34,1,0,034-001-000
9005XV/2BP,"SYLVANIA DIV, GTE","BULB, HEADLIGHT, XTRAVISION",34,1,53,034-001-053
9006,ONSPOT,"DASH, SWITCH,GUARD",0,0,0,000-000-000
9006LL,GENERAL ELECTRIC CO.,HEADLIGHT - LOW BEAM BULB,34,1,0,034-001-000
9006XV/2BP,"SYLVANIA DIV, GTE","BULB, HALOGEN HEADLIGHT",34,1,53,034-001-053
9007,FLEETRITE,"BULB,L IGHT",34,1,53,034-001-053
9007380,TENNANT,"FILTER, FUEL, PRIMARY, LPG",61,0,0,061-000-000
9007SLBX2,"SYLVANIA DIV, GTE","BULB, 9007, LED, PAIR",34,4,392,034-004-392
9008155,TENNANT,"HANDLE KIT, WAND AFNKT",266,1,0,266-001-000
9008-N,NAPA,HEAD LIGHT,34,1,,034-001-000
9009071,OTTAWA TRUCKS NA,LAMP,30,0,,030-000-000
9009817,TENNANT,"SQUEEGEE KIT, REAR, CI",161,2,0,161-002-000
900990-01,PROVEN QUALITY,FRONT DISC BRAKE ROTOR,13,1,26,013-001-026
901010,MAXON,"NUT, NYLON LOCK 1/2-13",53,7,4,053-007-004
901011-9,MAXON,U BOLT NUT,55,0,0,055-000-000
9010161,TENNANT,"MOTOR, ELECTRIC KIT",266,0,0,266-000-000
9010244,TENNANT,"COIL, IGNITION",33,3,1,033-003-001
9010246,TENNANT,"VR, STARTER, MOTOR",32,2,0,032-002-000
